Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Arif (M)	58	49	63	38	246
Arij (M)	20	4	3	4	39
Aris (M)	39	50	41	29	191
Ariën (M)	25	22	19	22	111
Arjan (M)	1164	823	473	243	3319
Arjen (M)	605	476	327	210	1950
Arjo (M)	13	16	11	4	50
Arjun (M)	10	23	27	21	103
Arjuna (M)	9	12	8	7	44
Armaan (M)	0	0	3	8	30
Arman (M)	22	26	50	78	201
Armand (M)	82	89	43	27	292
Armando (M)	93	134	105	85	462
Armano (M)	1	2	18	12	34
Armen (M)	4	10	6	6	31
Armin (M)	69	51	56	76	306
Arnaud (M)	40	37	26	23	161
Arne (M)	205	145	130	115	720
Arno (M)	361	288	213	97	1182
Arnold (M)	353	244	147	61	1011
Arnoldus (M)	221	156	109	50	657
Arnoud (M)	246	188	196	76	851
Arnout (M)	145	132	69	46	467
Aron (M)	187	388	586	469	1807
Arris (M)	16	7	10	2	41
Arsalan (M)	9	11	4	3	31
Arsen (M)	8	7	6	8	34
Arsenio (M)	4	38	24	4	71
Arshad (M)	15	8	7	4	37
Arslan (M)	7	7	5	4	28
Art (M)	10	24	17	17	75
Arthur (M)	406	450	406	344	1889
Artur (M)	13	17	18	13	79
Arun (M)	22	22	23	21	99
Arvid (M)	43	56	51	54	258
Arvin (M)	23	19	20	15	82
Arvind (M)	40	33	15	10	106
Arwen (M)	4	6	3	8	27
Arwin (M)	41	48	51	57	225
Ary (M)	4	12	7	3	38
Arya (M)	2	3	4	15	32
Aryan (M)	15	14	13	49	128
Asad (M)	12	13	7	9	48
Aschwin (M)	28	36	15	8	101
Asher (M)	5	4	10	10	38
Ashish (M)	2	3	9	9	29
Ashkan (M)	8	12	12	7	48
Ashley (M)	57	46	24	13	155
Ashraf (M)	7	30	32	42	125
Ashton (M)	2	4	10	5	29
Ashvin (M)	11	9	0	8	36
Ashwan (M)	11	6	3	8	30
Ashwien (M)	16	11	5	2	42
Ashwin (M)	122	174	100	59	508
Asif (M)	9	3	1	3	28
Asim (M)	12	18	11	11	62
Aslan (M)	11	3	5	3	27
Astrando (M)	6	11	6	1	28
Aswin (M)	24	27	17	11	93
Atakan (M)	2	10	44	63	135
Ate (M)	42	42	25	34	173
Athanasios (M)	9	6	8	8	43
Atif (M)	18	12	11	9	55
Atilla (M)	41	45	29	49	194
Attila (M)	5	9	13	9	47
Atze (M)	24	25	13	13	86
August (M)	35	36	52	42	190
Augustijn (M)	10	17	11	10	52
Augustinus (M)	63	49	29	23	193
Auke (M)	270	224	259	188	1097
Austin (M)	10	3	18	20	57
Avinash (M)	79	78	33	24	244
Avni (M)	7	6	3	7	28
Awinash (M)	36	13	6	3	65
Axel (M)	120	258	269	259	1027
Axl (M)	0	17	14	18	55
Aydan (M)	1	3	5	13	31
Ayden (M)	1	2	2	14	30
Aydin (M)	48	33	28	24	153
Ayhan (M)	60	44	27	15	189
Aykut (M)	25	46	15	4	96
Ayman (M)	11	16	80	225	474
Aymane (M)	1	3	6	44	79
Aymen (M)	9	8	14	28	87
Ayoub (M)	42	148	390	640	1483
Ayrton (M)	15	43	84	43	198
