Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Aslihan (V)	17	29	40	21	114
Aslı (V)	2	18	17	29	72
Aslıhan (V)	2	14	20	7	46
Asma (V)	228	336	196	107	979
Asmaa (V)	59	47	43	46	224
Asmae (V)	138	141	112	125	582
Asmara (V)	9	12	35	22	87
Assia (V)	64	91	81	92	370
Aster (V)	23	32	21	13	99
Astrid (V)	808	712	390	152	2462
Asude (V)	0	0	6	19	43
Asuman (V)	13	5	4	1	30
Asya (V)	8	5	19	56	108
Athina (V)	2	11	7	12	34
Atie (V)	3	12	4	4	27
Atika (V)	15	9	10	4	49
Atje (V)	13	9	1	3	31
Audrey (V)	146	162	136	87	651
Audry (V)	9	5	6	1	27
Augusta (V)	17	2	14	2	52
Augustina (V)	12	7	9	5	40
Auke (V)	24	30	19	23	110
Aukje (V)	241	185	132	187	917
Aura (V)	7	11	7	10	44
Aurelia (V)	15	32	22	21	106
Aurora (V)	24	52	52	74	230
Aurélie (V)	8	17	9	14	65
Ava (V)	5	19	25	43	120
Avalon (V)	41	38	25	22	138
Aviva (V)	10	7	9	6	34
Awa (V)	6	13	3	12	37
Axelle (V)	2	5	11	10	34
Aya (V)	14	16	84	377	807
Ayaan (V)	8	38	24	15	90
Ayah (V)	2	0	7	17	36
Ayan (V)	34	26	27	11	106
Ayana (V)	4	2	6	14	41
Aybike (V)	1	3	12	11	28
Aycan (V)	7	17	10	6	42
Ayda (V)	9	10	10	14	48
Aydan (V)	5	12	18	10	47
Ayesha (V)	14	21	24	26	105
Ayfer (V)	7	12	2	3	35
Aygül (V)	16	7	3	4	34
Ayla (V)	111	248	211	188	847
Ayleen (V)	6	12	21	17	56
Aylin (V)	47	136	179	169	596
Aynur (V)	52	30	23	15	162
Ayse (V)	170	136	53	38	492
Aysegul (V)	14	9	3	3	37
Aysegül (V)	17	14	14	6	63
Aysel (V)	65	39	23	9	160
Aysenur (V)	1	10	8	6	29
Aysha (V)	5	8	27	21	69
Aysu (V)	3	8	18	19	52
Aysun (V)	52	52	23	12	163
Ayten (V)	30	22	6	13	79
Ayça (V)	4	10	25	40	96
Ayşe (V)	316	321	227	126	1184
Ayşegül (V)	62	72	54	27	251
Ayşen (V)	4	3	9	6	28
Ayşenur (V)	10	22	58	48	149
Aziza (V)	107	58	39	20	271
Azize (V)	17	6	17	7	59
Azra (V)	18	42	34	166	405
Açelya (V)	2	5	18	60	118
Aïcha (V)	29	41	81	97	304
Aïda (V)	11	16	12	16	65
Aïsha (V)	17	16	78	140	279
Babet (V)	26	66	68	144	369
Babeth (V)	6	16	13	14	53
